account__key,account__id,account__name,account__status,account__industry,account__region,account__billing_country
001000000000000000,66a80575-61b2-40fc-aa8c-467dd317033b,Stewart-Johnson,Customer,Technology,us-east-1,United States
001000000000000001,f1d5f1f2-d2b4-45f3-89fb-a2e97e8add6d,Chavez Group,Prospect,Financial Services,eu-central-1,Germany
001000000000000002,bb2383f5-f976-460f-ab66-7196fbf9feb6,Andrews and Sons,Customer,Retail,ap-east-1,Singapore
001000000000000003,450bc70c-079a-4ff2-ab83-01eccad23a87,Bryant-Brown,Customer,Healthcare,sa-east-1,Brazil
001000000000000004,79486e3b-b80c-49c2-8c9b-9ef5ce2973d4,Owens-Chavez,Prospect,Media,me-south-1,United Arab Emirates
001000000000000005,109a86ef-418d-49c5-95ee-8f9fa0bd6d3e,Spencer Group,Customer,Technology,us-east-1,United States
001000000000000006,36fb9516-4cf1-4a0e-a2d2-a3a61d80940c,Neal Inc,Customer,Financial Services,eu-central-1,Germany
001000000000000007,b2395b1e-26b8-4fff-bcdd-fca370014527,Grant-Flynn,Customer,Retail,ap-east-1,Singapore
001000000000000008,86cc19d7-f246-4724-8379-77dc3a186a36,Walker Ltd,Customer,Healthcare,sa-east-1,Brazil
001000000000000009,a612d825-aec7-4d46-89e6-95829a84043e,Kirk-Ward,Prospect,Media,me-south-1,United Arab Emirates
