case_id,account_key,priority,opened_on,closed_on
case-001-1,acct-001,medium,2026-02-03,2026-02-22
case-001-2,acct-001,urgent,2026-03-28,2026-04-01
case-001-3,acct-001,low,2026-04-02,2026-04-17
case-002-1,acct-002,high,2026-06-03,2026-06-10
case-002-2,acct-002,low,2026-04-22,2026-05-06
case-002-3,acct-002,high,2026-06-25,2026-07-08
case-002-4,acct-002,urgent,2026-05-27,2026-06-05
case-002-5,acct-002,medium,2026-06-02,2026-06-18
case-002-6,acct-002,low,2026-05-01,\N
case-003-1,acct-003,medium,2026-06-26,2026-06-28
case-004-1,acct-004,low,2026-03-10,\N
case-004-2,acct-004,urgent,2026-04-11,\N
case-004-3,acct-004,low,2026-06-27,2026-07-09
case-004-4,acct-004,low,2026-06-20,2026-06-22
case-005-1,acct-005,high,2026-03-29,2026-04-18
case-005-2,acct-005,medium,2026-05-11,\N
case-005-3,acct-005,high,2026-01-30,2026-01-31
case-005-4,acct-005,high,2026-03-24,2026-03-29
case-007-1,acct-007,urgent,2026-01-04,\N
case-007-2,acct-007,low,2026-03-23,\N
case-007-3,acct-007,urgent,2026-05-02,\N
case-007-4,acct-007,high,2026-03-07,2026-03-27
case-008-1,acct-008,medium,2026-04-09,2026-04-13
case-008-2,acct-008,low,2026-06-10,\N
case-008-3,acct-008,high,2026-01-24,2026-02-09
case-008-4,acct-008,urgent,2026-06-27,2026-07-13
case-008-5,acct-008,high,2026-04-13,2026-05-02
case-008-6,acct-008,high,2026-04-29,2026-05-03
