day,tenant_id,tenant_name,plan,region,queries,storage_gb,compute_minutes,daily_spend
2026-03-03,t001,Vance Group,starter,eu-west-1,493,4.4,12.79,8.39
2026-03-04,t001,Vance Group,starter,eu-west-1,511,4.59,12.35,8.26
2026-03-05,t001,Vance Group,starter,eu-west-1,359,4.09,7.94,8.21
2026-03-06,t001,Vance Group,starter,eu-west-1,307,4.54,7.56,8.41
2026-03-07,t001,Vance Group,starter,eu-west-1,173,4.48,4.34,8.04
2026-03-08,t001,Vance Group,starter,eu-west-1,167,4.62,4.01,8.7
2026-03-09,t001,Vance Group,starter,eu-west-1,342,4.71,7.06,7.97
2026-03-10,t001,Vance Group,starter,eu-west-1,324,4.27,7.37,7.97
2026-03-11,t001,Vance Group,starter,eu-west-1,404,4.58,9.1,8.74
2026-03-12,t001,Vance Group,starter,eu-west-1,494,4.69,10.49,8.25
2026-03-13,t001,Vance Group,starter,eu-west-1,344,4.02,7.9,8.13
2026-03-14,t001,Vance Group,starter,eu-west-1,157,4.65,3.99,8.57
2026-03-15,t001,Vance Group,starter,eu-west-1,242,4.81,4.57,8.15
2026-03-16,t001,Vance Group,starter,eu-west-1,373,4.44,7.78,8.09
2026-03-17,t001,Vance Group,starter,eu-west-1,434,4.74,10.15,8.3
2026-03-18,t001,Vance Group,starter,eu-west-1,401,4.81,9.07,7.93
2026-03-19,t001,Vance Group,starter,eu-west-1,337,4.4,8.3,8.05
2026-03-20,t001,Vance Group,starter,eu-west-1,473,4.52,11.95,8.16
2026-03-21,t001,Vance Group,starter,eu-west-1,278,4.45,5.54,8.24
2026-03-22,t001,Vance Group,starter,eu-west-1,167,4.09,3.67,8.07
2026-03-23,t001,Vance Group,starter,eu-west-1,489,4.17,12.09,8.16
2026-03-24,t001,Vance Group,starter,eu-west-1,326,4.61,7.39,8.47
2026-03-25,t001,Vance Group,starter,eu-west-1,281,4.12,5.45,8.03
2026-03-26,t001,Vance Group,starter,eu-west-1,428,4.32,8.03,8.06
2026-03-27,t001,Vance Group,starter,eu-west-1,294,4.5,6.24,8.3
2026-03-28,t001,Vance Group,starter,eu-west-1,245,4.38,4.65,8.59
2026-03-29,t001,Vance Group,starter,eu-west-1,220,4.17,4.41,8.38
2026-03-30,t001,Vance Group,starter,eu-west-1,360,4.79,8.63,8.69
2026-03-31,t001,Vance Group,starter,eu-west-1,485,4.71,9.86,8.07
2026-04-01,t001,Vance Group,starter,eu-west-1,359,4.13,9.26,8.62
2026-04-02,t001,Vance Group,starter,eu-west-1,519,4.28,12.0,8.28
2026-04-03,t001,Vance Group,starter,eu-west-1,465,4.13,10.09,8.04
2026-04-04,t001,Vance Group,starter,eu-west-1,263,4.72,6.83,8.66
2026-04-05,t001,Vance Group,starter,eu-west-1,236,4.55,4.95,8.72
2026-04-06,t001,Vance Group,starter,eu-west-1,414,4.23,10.97,8.62
2026-04-07,t001,Vance Group,starter,eu-west-1,357,4.43,8.7,8.35
2026-04-08,t001,Vance Group,starter,eu-west-1,379,4.28,7.09,8.57
2026-04-09,t001,Vance Group,starter,eu-west-1,322,4.24,5.97,8.5
2026-04-10,t001,Vance Group,starter,eu-west-1,304,4.03,6.53,8.05
2026-04-11,t001,Vance Group,starter,eu-west-1,174,4.0,4.46,8.02
2026-04-12,t001,Vance Group,starter,eu-west-1,193,4.06,4.93,8.53
2026-04-13,t001,Vance Group,starter,eu-west-1,288,4.54,6.43,8.63
2026-04-14,t001,Vance Group,starter,eu-west-1,283,4.8,5.88,8.38
2026-04-15,t001,Vance Group,starter,eu-west-1,325,4.72,5.82,8.34
2026-04-16,t001,Vance Group,starter,eu-west-1,312,4.39,7.37,7.94
2026-04-17,t001,Vance Group,starter,eu-west-1,487,4.36,11.39,8.15
2026-04-18,t001,Vance Group,starter,eu-west-1,165,4.09,3.77,8.46
2026-04-19,t001,Vance Group,starter,eu-west-1,214,4.43,4.97,8.03
2026-04-20,t001,Vance Group,starter,eu-west-1,358,4.53,8.69,8.56
2026-04-21,t001,Vance Group,starter,eu-west-1,515,4.74,11.79,8.61
2026-04-22,t001,Vance Group,starter,eu-west-1,300,4.38,7.72,8.5
2026-04-23,t001,Vance Group,starter,eu-west-1,372,4.59,6.77,8.7
2026-04-24,t001,Vance Group,starter,eu-west-1,416,4.07,7.5,8.47
2026-04-25,t001,Vance Group,starter,eu-west-1,263,4.86,6.39,8.3
2026-04-26,t001,Vance Group,starter,eu-west-1,154,4.58,3.72,8.04
2026-04-27,t001,Vance Group,starter,eu-west-1,490,4.81,12.43,7.92
2026-04-28,t001,Vance Group,starter,eu-west-1,406,4.3,9.5,8.67
2026-04-29,t001,Vance Group,starter,eu-west-1,405,4.24,9.38,8.07
2026-04-30,t001,Vance Group,starter,eu-west-1,288,4.03,7.2,8.34
2026-05-01,t001,Vance Group,starter,eu-west-1,519,4.57,12.38,8.31
2026-05-02,t001,Vance Group,starter,eu-west-1,168,4.79,3.16,8.4
2026-05-03,t001,Vance Group,starter,eu-west-1,224,4.5,4.23,7.94
2026-05-04,t001,Vance Group,starter,eu-west-1,485,4.07,10.67,8.49
2026-05-05,t001,Vance Group,starter,eu-west-1,334,4.72,6.95,8.07
2026-05-06,t001,Vance Group,starter,eu-west-1,319,4.15,6.18,8.25
2026-05-07,t001,Vance Group,starter,eu-west-1,508,4.4,13.0,8.26
2026-05-08,t001,Vance Group,starter,eu-west-1,297,4.53,5.99,8.7
2026-05-09,t001,Vance Group,starter,eu-west-1,273,4.08,6.2,8.13
2026-05-10,t001,Vance Group,starter,eu-west-1,242,4.6,6.08,8.7
2026-05-11,t001,Vance Group,starter,eu-west-1,432,4.49,7.87,7.92
2026-05-12,t001,Vance Group,starter,eu-west-1,342,4.47,8.83,7.96
2026-05-13,t001,Vance Group,starter,eu-west-1,381,4.8,6.86,7.99
2026-05-14,t001,Vance Group,starter,eu-west-1,454,4.64,8.58,8.74
2026-05-15,t001,Vance Group,starter,eu-west-1,301,4.09,5.65,8.35
2026-05-16,t001,Vance Group,starter,eu-west-1,196,4.53,4.93,8.08
2026-05-17,t001,Vance Group,starter,eu-west-1,225,4.53,5.44,8.69
2026-05-18,t001,Vance Group,starter,eu-west-1,343,4.34,7.13,8.06
2026-05-19,t001,Vance Group,starter,eu-west-1,335,4.77,8.31,7.93
2026-05-20,t001,Vance Group,starter,eu-west-1,297,4.84,6.3,7.96
2026-05-21,t001,Vance Group,starter,eu-west-1,451,4.69,10.77,8.72
2026-05-22,t001,Vance Group,starter,eu-west-1,460,4.27,8.66,8.22
2026-05-23,t001,Vance Group,starter,eu-west-1,224,4.01,5.52,8.16
2026-05-24,t001,Vance Group,starter,eu-west-1,194,4.06,4.49,8.62
2026-05-25,t001,Vance Group,starter,eu-west-1,301,4.37,5.67,8.7
2026-05-26,t001,Vance Group,starter,eu-west-1,493,4.06,9.16,8.2
2026-05-27,t001,Vance Group,starter,eu-west-1,457,4.15,10.76,8.74
2026-05-28,t001,Vance Group,starter,eu-west-1,443,4.44,10.54,8.37
2026-05-29,t001,Vance Group,starter,eu-west-1,346,4.66,6.39,8.28
2026-05-30,t001,Vance Group,starter,eu-west-1,170,4.42,4.11,8.25
2026-05-31,t001,Vance Group,starter,eu-west-1,257,4.02,6.56,8.58
2026-06-01,t001,Vance Group,starter,eu-west-1,364,4.53,8.39,8.54
2026-06-02,t001,Vance Group,starter,eu-west-1,286,4.1,6.53,8.0
2026-06-03,t001,Vance Group,starter,eu-west-1,428,4.7,11.19,8.47
2026-06-04,t001,Vance Group,starter,eu-west-1,440,4.64,8.85,8.25
2026-06-05,t001,Vance Group,starter,eu-west-1,462,4.2,10.12,8.73
2026-06-06,t001,Vance Group,starter,eu-west-1,255,4.56,4.96,8.02
2026-06-07,t001,Vance Group,starter,eu-west-1,158,4.42,2.88,8.13
2026-06-08,t001,Vance Group,starter,eu-west-1,441,4.15,8.07,8.17
2026-06-09,t001,Vance Group,starter,eu-west-1,516,4.75,9.41,8.26
2026-06-10,t001,Vance Group,starter,eu-west-1,320,4.48,5.76,8.23
2026-06-11,t001,Vance Group,starter,eu-west-1,480,4.37,12.11,8.35
2026-06-12,t001,Vance Group,starter,eu-west-1,286,4.45,5.91,8.27
2026-06-13,t001,Vance Group,starter,eu-west-1,269,4.71,6.31,8.48
2026-06-14,t001,Vance Group,starter,eu-west-1,258,4.47,6.39,8.38
2026-06-15,t001,Vance Group,starter,eu-west-1,391,4.4,10.23,8.17
2026-06-16,t001,Vance Group,starter,eu-west-1,511,4.1,9.75,8.46
2026-06-17,t001,Vance Group,starter,eu-west-1,495,4.35,10.55,8.47
2026-06-18,t001,Vance Group,starter,eu-west-1,280,4.42,6.93,8.7
2026-06-19,t001,Vance Group,starter,eu-west-1,364,4.36,6.48,8.61
2026-06-20,t001,Vance Group,starter,eu-west-1,234,4.43,5.32,8.63
2026-06-21,t001,Vance Group,starter,eu-west-1,237,4.53,4.42,8.33
2026-06-22,t001,Vance Group,starter,eu-west-1,382,4.79,8.08,8.59
2026-06-23,t001,Vance Group,starter,eu-west-1,330,4.3,8.26,8.68
2026-06-24,t001,Vance Group,starter,eu-west-1,444,4.54,8.57,8.74
2026-06-25,t001,Vance Group,starter,eu-west-1,411,4.03,7.53,8.47
2026-06-26,t001,Vance Group,starter,eu-west-1,495,4.81,11.38,8.69
2026-06-27,t001,Vance Group,starter,eu-west-1,223,4.19,4.44,8.61
2026-06-28,t001,Vance Group,starter,eu-west-1,155,4.76,3.27,8.18
2026-06-29,t001,Vance Group,starter,eu-west-1,451,4.53,10.64,7.93
2026-06-30,t001,Vance Group,starter,eu-west-1,422,4.13,9.14,8.71
2026-03-03,t002,Hull-Hart,growth,us-east-1,2326,36.54,43.6,40.4
2026-03-04,t002,Hull-Hart,growth,us-east-1,3292,36.06,60.37,38.18
